run_id,model,train_on,test_on,epoch,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,loss,train_time_sec,best_val_accuracy,config_path,notes
20260530_122918_model001,model001,gtzan,gtzan,2,0.6636,0.6714,0.6635,0.711,0.6729,1.0599,30.1,0.6878130217028381,configs/quickTest.yaml,quick gpu test
20260530_122950_model002,model002,gtzan,gtzan,1,0.6628,0.6593,0.6594,0.6779,0.6842,1.0682,16.8,0.7161936560934892,configs/quickTest.yaml,quick gpu test
20260530_123257_model001,model001,gtzan,gtzan,5,0.8239,0.8251,0.8235,0.828,0.8285,0.624,52.1,0.8030050083472454,configs/quickTest.yaml,quick gpu test
20260530_123351_model002,model002,gtzan,gtzan,3,0.7863,0.7841,0.78,0.786,0.7915,0.6999,28.2,0.8013355592654424,configs/quickTest.yaml,quick gpu test
20260530_133716_model001,model001,gtzan,gtzan,4,0.8264,0.8324,0.828,0.836,0.8317,0.6248,49.0,0.8046744574290484,configs/quickTest.yaml,quick gpu test
20260530_133808_model002,model002,gtzan,gtzan,4,0.813,0.811,0.8098,0.811,0.8144,0.7006,30.3,0.8113522537562604,configs/quickTest.yaml,quick gpu test
20260530_134027_model001,model001,gtzan,gtzan,19,0.8548,0.8514,0.8523,0.8513,0.8557,0.7975,279.4,0.8497495826377296,configs/gtzan_only.yaml,gtzan only training
20260530_134509_model002,model002,gtzan,gtzan,18,0.8222,0.823,0.8187,0.8202,0.8294,0.8569,164.7,0.8263772954924875,configs/gtzan_only.yaml,gtzan only training
20260530_134801_model001,model001,fma,fma,3,0.6375,0.6282,0.6324,0.6282,0.6329,1.1099,640.0,0.6277056277056277,configs/fma_only.yaml,fma only training
20260530_135847_model002,model002,fma,fma,3,0.6372,0.6224,0.6278,0.6241,0.63,1.1015,355.9,0.6227581941867656,configs/fma_only.yaml,fma only training
20260530_140454_model001,model001,gtzan+fma,gtzan,5,0.8272,0.6934,0.8285,0.6934,0.6955,0.6606,873.8,0.6577093660318288,configs/defaultTest.yaml,full training run
20260530_140454_model001,model001,gtzan+fma,fma,5,0.6438,0.3208,0.6449,0.3219,0.3203,1.2864,873.8,0.6577093660318288,configs/defaultTest.yaml,full training run
20260530_141937_model002,model002,gtzan+fma,gtzan,20,0.8197,0.6319,0.8188,0.6369,0.632,1.0171,964.3,0.6524915210018263,configs/defaultTest.yaml,full training run
20260530_141937_model002,model002,gtzan+fma,fma,20,0.6264,0.3711,0.6228,0.372,0.3729,2.3321,964.3,0.6524915210018263,configs/defaultTest.yaml,full training run
20260531_052726_model001,model001,gtzan,gtzan,5,0.8314,0.8356,0.8326,0.8403,0.8369,0.5822,44.8,0.8080133555926544,configs/quickTest.yaml,quick gpu test
20260531_052815_model002,model002,gtzan,gtzan,4,0.8222,0.8227,0.8182,0.8268,0.8272,0.6591,30.3,0.7946577629382304,configs/quickTest.yaml,quick gpu test
20260531_053820_model001,model001,gtzan+fma,gtzan,2,0.7721,0.7085,0.7711,0.7128,0.7147,0.7198,260.3,0.6417949386903209,configs/quickFull.yaml,quick full test - 5 epochs
20260531_053820_model001,model001,gtzan+fma,fma,2,0.6429,0.3496,0.6449,0.355,0.3486,1.0166,260.3,0.6417949386903209,configs/quickFull.yaml,quick full test - 5 epochs
20260531_054249_model002,model002,gtzan+fma,gtzan,4,0.7145,0.5529,0.7085,0.5707,0.5602,0.8712,179.2,0.6271849726063136,configs/quickFull.yaml,quick full test - 5 epochs
20260531_054249_model002,model002,gtzan+fma,fma,4,0.6166,0.3304,0.6111,0.3366,0.3317,1.0868,179.2,0.6271849726063136,configs/quickFull.yaml,quick full test - 5 epochs
20260531_055727_model001,model001,gtzan+fma,gtzan,25,0.828,0.6423,0.8325,0.6461,0.6398,0.7213,1816.7,0.6621445343073311,configs/defaultTest.yaml,full training run
20260531_055727_model001,model001,gtzan+fma,fma,25,0.6449,0.426,0.6431,0.4261,0.4274,1.917,1816.7,0.6621445343073311,configs/defaultTest.yaml,full training run
20260531_062752_model002,model002,gtzan+fma,gtzan,32,0.8105,0.6802,0.8134,0.684,0.6787,0.8587,1472.8,0.6532741977563267,configs/defaultTest.yaml,full training run
20260531_062752_model002,model002,gtzan+fma,fma,32,0.6279,0.3744,0.6276,0.3751,0.3744,2.0975,1472.8,0.6532741977563267,configs/defaultTest.yaml,full training run
20260531_070306_model001,model001,gtzan,gtzan,24,0.8698,0.8674,0.8684,0.8687,0.8708,0.6001,298.9,0.8547579298831386,configs/gtzan_only.yaml,gtzan only training
20260531_070807_model002,model002,gtzan,gtzan,21,0.8364,0.8343,0.8346,0.8335,0.839,0.6913,189.9,0.8363939899833055,configs/gtzan_only.yaml,gtzan only training
20260531_071125_model001,model001,fma,fma,3,0.6349,0.6269,0.6307,0.6251,0.6315,1.0573,585.8,0.6326530612244898,configs/fma_only.yaml,fma only training
20260531_072117_model002,model002,fma,fma,28,0.6336,0.625,0.6295,0.6259,0.6281,1.9033,1117.7,0.6292517006802721,configs/fma_only.yaml,fma only training
