run_id,model,train_on,test_on,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,train_time_sec,notes
20260530_150821_ml,random_forest,gtzan+fma,gtzan,0.4917,0.4252,0.5354,0.5552,0.4061,9.6,ml pipeline test
20260530_150821_ml,random_forest,gtzan+fma,fma,0.5472,0.3227,0.5426,0.3248,0.3256,9.6,ml pipeline test
20260530_150821_ml,svm,gtzan+fma,gtzan,0.6603,0.5337,0.6872,0.5735,0.5226,89.6,ml pipeline test
20260530_150821_ml,svm,gtzan+fma,fma,0.5589,0.2577,0.5625,0.2597,0.2561,89.6,ml pipeline test
20260530_150821_ml,mlp,gtzan+fma,gtzan,0.6352,0.5075,0.6532,0.5303,0.5002,11.6,ml pipeline test
20260530_150821_ml,mlp,gtzan+fma,fma,0.521,0.2424,0.5288,0.2463,0.2393,11.6,ml pipeline test
20260530_150821_ml,xgboost,gtzan+fma,gtzan,0.5927,0.4927,0.6329,0.5622,0.4728,10.6,ml pipeline test
20260530_150821_ml,xgboost,gtzan+fma,fma,0.5702,0.2618,0.5716,0.2631,0.2614,10.6,ml pipeline test
20260530_151657_ml,random_forest,gtzan,gtzan,0.7262,0.724,0.7222,0.7207,0.739,0.9,ml - gtzan only
20260530_151657_ml,svm,gtzan,gtzan,0.7195,0.7195,0.7157,0.7186,0.7336,1.5,ml - gtzan only
20260530_151657_ml,mlp,gtzan,gtzan,0.7028,0.7079,0.7012,0.706,0.7139,0.6,ml - gtzan only
20260530_151657_ml,xgboost,gtzan,gtzan,0.7354,0.7372,0.7319,0.7355,0.7475,4.2,ml - gtzan only
20260530_151707_ml,random_forest,fma,fma,0.5582,0.5487,0.5532,0.549,0.5533,8.1,ml - fma only
20260530_151707_ml,svm,fma,fma,0.5667,0.5623,0.5662,0.5626,0.5626,71.2,ml - fma only
20260530_151707_ml,mlp,fma,fma,0.5261,0.5232,0.527,0.5258,0.5228,7.0,ml - fma only
20260530_151707_ml,xgboost,fma,fma,0.5758,0.5705,0.5746,0.5712,0.5716,7.5,ml - fma only
